,ST,ST_conf
theta,0.0,0.0
rho_b,0.0,0.0
D,0.18157793057076635,0.21395051198267973
v,0.9493103628940094,0.497900850794576
lamb,6.354090903255886e-07,1.484087472368338e-06
alpha,0.0,0.0
kd,0.0,0.0
