,ST,ST_conf
theta,0.0,0.0
rho_b,0.0,0.0
D,0.4486101316676459,0.44130865751027426
v,0.7417072041286709,0.4841013116146726
lamb,0.0,0.0
alpha,0.0,0.0
kd,0.0,0.0
