,S1,S1_conf
theta,0.11586360566173086,0.10540324125824332
rho_b,0.0012502158207457904,0.006761610627673146
D,0.02449022639124101,0.049420676522167466
v,0.3305959980899591,0.46433375459103593
lamb,-0.0016245045929336771,0.00470299056394052
alpha,-0.0008023559887669341,0.010257034657316205
kd,0.0027781038599321603,0.02162968132410793
