,S1,S1_conf
theta,0.10960549876591574,0.20416025480301678
rho_b,0.0013049582829310037,0.008442974980425795
D,0.05750213856478594,0.12741009140699824
v,0.055271751158989677,0.08845568887135244
lamb,-0.000724499786101111,0.004713366776350605
alpha,0.0027265313260464445,0.015435683494887916
kd,0.000730734812424924,0.0186052025332366
