,S1,S1_conf
theta,0.0,0.0
rho_b,0.0,0.0
D,0.24340845613433032,0.18030178251747447
v,0.566873525450427,0.5275346906756907
lamb,0.0,0.0
alpha,0.0,0.0
kd,0.0,0.0
