,ST,ST_conf
theta,0.0,0.0
rho_b,0.0,0.0
D,0.003626192112897725,0.006030155059505382
v,1.0365603694664944,0.21655747719445045
lamb,0.0003351942289233184,0.0005340750784093485
alpha,5.377447522834119e-06,1.1507640548867113e-05
kd,1.9717307583724564e-05,5.799936221304208e-05
