,S2,S2_conf
"('theta', 'rho_b')",0.03941038033885568,0.4694011503085986
"('theta', 'D')",0.1980250731138698,1.0123335918061447
"('theta', 'v')",0.681184600399616,2.4535972396137637
"('theta', 'lamb')",0.09816620560098038,0.65039048526833
"('theta', 'alpha')",0.12312633003192418,0.7252827024998628
"('theta', 'kd')",0.1831489038133562,0.9163009073142155
"('rho_b', 'D')",0.016278174643546653,0.036559583324095174
"('rho_b', 'v')",0.0027364262663730488,0.010709347894778523
"('rho_b', 'lamb')",0.00828881371758946,0.01763860194109057
"('rho_b', 'alpha')",0.009922373691890831,0.02039254908931757
"('rho_b', 'kd')",0.014953906406834328,0.03141564839012009
"('D', 'v')",0.04580822639217763,0.36249447090835396
"('D', 'lamb')",-0.019006598079793276,0.053755570932404594
"('D', 'alpha')",-0.01834137798294777,0.05300006985808376
"('D', 'kd')",-0.024751448331469496,0.07443775919315276
"('v', 'lamb')",0.05065224026332388,0.5976815871455826
"('v', 'alpha')",0.06919802145245309,0.6241161454496883
"('v', 'kd')",0.2652646239400971,1.1414345588481194
"('lamb', 'alpha')",0.003744743631347665,0.024584502974948966
"('lamb', 'kd')",0.009099190213779933,0.038665654625722565
"('alpha', 'kd')",0.004244384833350818,0.030099531716557958
