,S1,S1_conf
theta,-0.003572107372617149,0.0057839352900472445
rho_b,0.0,0.0
D,0.010104033121781354,0.0484809470598267
v,0.9788791913521449,0.7884816052868364
lamb,-0.0003856390858989643,0.004446051754232683
alpha,-0.0007755239054679267,0.005924108412146439
kd,0.002647079441109686,0.005214526556299609
