,S2,S2_conf
"('theta', 'rho_b')",0.017168666511953732,0.5149753727037835
"('theta', 'D')",0.2146279367555949,1.591158776068973
"('theta', 'v')",0.3306545353123918,2.175227110855666
"('theta', 'lamb')",0.07544446504016052,0.7900531752867955
"('theta', 'alpha')",-0.024243485357614517,0.32885461124139154
"('theta', 'kd')",0.13278317984938257,1.0497791572259634
"('rho_b', 'D')",0.003602501985557706,0.016046278324948038
"('rho_b', 'v')",0.0016173514088826807,0.01190634352075691
"('rho_b', 'lamb')",0.002789912396077711,0.013690207311067482
"('rho_b', 'alpha')",0.0028758036947282117,0.013795760546647048
"('rho_b', 'kd')",0.002875803694728209,0.01378008614504492
"('D', 'v')",-0.03248356896327876,0.16980579868077442
"('D', 'lamb')",-0.04508063774176153,0.13359146597892316
"('D', 'alpha')",-0.046318823541408614,0.13717910568732536
"('D', 'kd')",-0.04586331013732956,0.14147036121352588
"('v', 'lamb')",0.07819726061645701,0.5773186503098534
"('v', 'alpha')",0.09104042244163506,0.6486661829351175
"('v', 'kd')",0.0925661993311456,0.6590940645969261
"('lamb', 'alpha')",0.0017779287240196153,0.012723704980923671
"('lamb', 'kd')",0.0017576622378211826,0.013081335566048066
"('alpha', 'kd')",0.0040287397698728425,0.037023600094339984
