,ST,ST_conf
theta,1.1562849143843287e-05,1.8722497461650545e-05
rho_b,0.0,0.0
D,0.029797462243684136,0.039514206914388006
v,0.936243895176991,0.23914862516564647
lamb,0.00010406564229458904,0.00011750300907294738
alpha,1.1562849143843287e-05,8.832683479962077e-05
kd,1.1562849143843287e-05,2.2777852069970654e-05
