,ST,ST_conf
theta,0.4277067593375388,0.2578587943807937
rho_b,0.03986782729528448,0.03177183713766063
D,0.03376544031151146,0.03634458794182995
v,0.792030881156099,0.43661892110163014
lamb,0.15236624729205916,0.0918452434083888
alpha,0.004819568538045432,0.004843131490948637
kd,0.16922205796649975,0.1483011325879747
