,S2,S2_conf
"('theta', 'rho_b')",0.08600704136128402,0.38820995403772024
"('theta', 'D')",0.08200652462211944,0.4127708939380605
"('theta', 'v')",-0.02129257473707767,0.28395027853367133
"('theta', 'lamb')",0.032369359987607406,0.2914663885271345
"('theta', 'alpha')",0.08122560972135626,0.4082513694021709
"('theta', 'kd')",0.05061962018718552,0.32654716209537815
"('rho_b', 'D')",0.0018599015490494257,0.026624769964085557
"('rho_b', 'v')",0.12515877787093269,0.2752769617349281
"('rho_b', 'lamb')",-0.0023788640254587615,0.024844737068787915
"('rho_b', 'alpha')",0.0009143191598604772,0.02605247071934792
"('rho_b', 'kd')",0.0013036783233623048,0.027469908864274514
"('D', 'v')",0.012674846437343235,0.020348280792971008
"('D', 'lamb')",-0.0061725118551834435,0.012415696313529996
"('D', 'alpha')",-0.007105327385775094,0.015623818196363862
"('D', 'kd')",-0.009059280469634862,0.017299692530638334
"('v', 'lamb')",0.3101504887094707,0.3071947435653483
"('v', 'alpha')",0.6215546015198768,0.5974620646587631
"('v', 'kd')",0.8179229940183568,0.8002682107387459
"('lamb', 'alpha')",-0.0024221297566346793,0.10914514499997019
"('lamb', 'kd')",-0.01685313510353224,0.1355698908377004
"('alpha', 'kd')",-0.003092927680179429,0.007360821569770188
