,ST,ST_conf
theta,0.0020809219465552815,0.007595802675904065
rho_b,0.00012530823813597703,0.0007117786171461974
D,0.07623471390468521,0.411038036195232
v,0.4122167983493532,1.855709322636615
lamb,0.0027411806149665336,0.019634070123300863
alpha,0.0025111972220824316,0.014789701845934618
kd,0.006895475819032761,0.06642007993632634
