,ST,ST_conf
theta,0.0,0.0
rho_b,6.271361826220536e-05,0.00015683820176085403
D,0.08673293405663042,0.1026663417885923
v,0.8772380922517323,0.3436319436976654
lamb,0.00012542723652441039,0.00019833682769824614
alpha,6.271361826220567e-05,0.00014699934434643419
kd,6.271361826220536e-05,0.00015683820176085403
