,ST,ST_conf
theta,0.14845591479273246,0.30244914145630214
rho_b,0.007545435772310876,0.015269988608028535
D,0.30673580627875796,0.7192044379349144
v,0.4659981664012202,0.7491783749542344
lamb,0.0019575566936920843,0.004277882285160347
alpha,0.022420425375872195,0.054634454245505795
kd,0.03336962104236833,0.06843073125081203
