,ST,ST_conf
theta,0.08561797959822763,0.2521489695948797
rho_b,0.008971535541517793,0.028292046070025067
D,0.2855810412036764,1.3220846911206283
v,0.2842516459255396,0.8871596989277225
lamb,0.0035407096460180454,0.014358593192610722
alpha,0.031469885259528575,0.09797480073071198
kd,0.022471414258126963,0.08158343318930329
