,ST,ST_conf
theta,0.18627860912854688,0.32841085612939225
rho_b,0.010501110033324466,0.019223813390714942
D,0.20915027479154086,0.40578519823976816
v,0.6285617401103317,1.0780396217397097
lamb,0.023238440597532488,0.05512739997845229
alpha,0.04038946907084355,0.08701113705259492
kd,0.05173836495803416,0.09939427559303643
